price_numeric,discount_percent,rating,reviews_count,title_length,has_description,has_discount,has_rating,high_rating,hour,day_of_week,month,website_encoded,category_encoded,deal_quality_score
3.99,0.0,0.0,0.0,100,0,0,0,0,12,4,10,1,3,0.0
220.88,0.0,0.0,0.0,90,0,0,0,0,12,4,10,1,3,0.0
489.99,0.0,0.0,0.0,100,0,0,0,0,12,4,10,1,3,0.0
104.0,0.0,0.0,0.0,68,0,0,0,0,12,4,10,1,26,0.0
7.23,0.0,0.0,0.0,100,0,0,0,0,12,4,10,1,26,0.0
649.0,0.0,0.0,0.0,80,0,0,0,0,12,4,10,1,26,0.0
259.0,0.0,0.0,0.0,100,0,0,0,0,12,4,10,1,26,0.0
270.0,0.0,0.0,0.0,89,0,0,0,0,12,4,10,1,13,0.0
679.0,0.0,0.0,0.0,100,0,0,0,0,12,4,10,1,13,0.0
249.99,0.0,0.0,0.0,100,0,0,0,0,12,4,10,1,13,0.0
102.0,0.0,0.0,0.0,100,0,0,0,0,12,4,10,1,10,0.0
159.0,0.0,0.0,0.0,99,0,0,0,0,12,4,10,1,8,0.0
399.99,0.0,0.0,0.0,98,0,0,0,0,12,4,10,1,11,0.0
135.0,0.0,0.0,0.0,90,0,0,0,0,12,4,10,1,11,0.0
699.99,0.0,0.0,0.0,100,0,0,0,0,12,4,10,1,11,0.0
210.0,0.0,0.0,0.0,99,0,0,0,0,12,4,10,1,11,0.0
425.0,0.0,0.0,0.0,88,0,0,0,0,12,4,10,1,11,0.0
799.99,0.0,0.0,0.0,82,0,0,0,0,12,4,10,1,11,0.0
180.0,0.0,0.0,0.0,100,0,0,0,0,12,4,10,1,11,0.0
99.0,0.0,0.0,0.0,82,0,0,0,0,12,4,10,1,22,0.0
699.99,0.0,0.0,0.0,40,0,0,0,0,12,4,10,1,2,0.0
299.99,0.0,0.0,0.0,73,0,0,0,0,12,4,10,1,27,0.0
139.0,0.0,0.0,0.0,84,0,0,0,0,12,4,10,1,27,0.0
127.0,0.0,0.0,0.0,92,0,0,0,0,12,4,10,1,27,0.0
0.0,0.0,0.0,0.0,52,0,0,0,0,21,3,10,1,3,0.0
18.99,0.0,0.0,0.0,79,0,0,0,0,21,3,10,1,3,0.0
55.99,0.0,0.0,0.0,96,0,0,0,0,21,3,10,1,3,0.0
159.0,0.0,0.0,0.0,100,0,0,0,0,21,3,10,1,3,0.0
622.99,0.0,0.0,0.0,100,0,0,0,0,21,3,10,1,3,0.0
3.99,0.0,0.0,0.0,100,0,0,0,0,21,3,10,1,26,0.0
59.99,0.0,0.0,0.0,79,0,0,0,0,21,3,10,1,26,0.0
0.0,0.0,0.0,0.0,40,0,0,0,0,21,3,10,1,26,0.0
139.99,0.0,0.0,0.0,100,0,0,0,0,21,3,10,1,6,0.0
499.99,0.0,0.0,0.0,63,0,0,0,0,21,3,10,1,6,0.0
99.99,0.0,0.0,0.0,87,0,0,0,0,21,3,10,1,13,0.0
129.95,0.0,0.0,0.0,72,0,0,0,0,21,3,10,1,10,0.0
154.99,0.0,0.0,0.0,56,0,0,0,0,21,3,10,1,10,0.0
169.0,0.0,0.0,0.0,100,0,0,0,0,21,3,10,1,8,0.0
66.25,0.0,0.0,0.0,98,0,0,0,0,21,3,10,1,19,0.0
230.0,0.0,0.0,0.0,38,0,0,0,0,21,3,10,1,19,0.0
215.0,0.0,0.0,0.0,100,0,0,0,0,21,3,10,1,11,0.0
415.0,0.0,0.0,0.0,67,0,0,0,0,21,3,10,1,29,0.0
